Temperature

16:15:00.367 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:16:43.749 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:45.789 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:47.806 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:49.832 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:51.849 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:53.880 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:55.932 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:57.952 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:59.974 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:01.997 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:04.042 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:06.054 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:08.088 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:10.109 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:12.139 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:14.171 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:16.179 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:17:18.213 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:20.253 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:22.276 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:24.286 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:26.315 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:28.360 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:30.388 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:32.391 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:34.424 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:36.437 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:38.484 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:40.507 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:42.526 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:44.566 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:46.584 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:48.613 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:50.636 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:52.671 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:54.707 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:56.743 -> Humidity: 37.00 %, Temp: 25.40 Celsius
16:17:58.766 -> Humidity: 45.00 %, Temp: 25.40 Celsius
16:18:00.781 -> Humidity: 58.00 %, Temp: 25.50 Celsius
16:18:02.824 -> Humidity: 53.00 %, Temp: 25.50 Celsius
16:18:04.838 -> Humidity: 47.00 %, Temp: 25.70 Celsius
16:18:06.867 -> Humidity: 43.00 %, Temp: 25.70 Celsius
16:18:08.899 -> Humidity: 41.00 %, Temp: 25.80 Celsius
16:18:10.909 -> Humidity: 40.00 %, Temp: 25.90 Celsius
16:18:12.946 -> Humidity: 39.00 %, Temp: 25.90 Celsius
16:18:14.978 -> Humidity: 40.00 %, Temp: 26.00 Celsius
16:18:16.982 -> Humidity: 40.00 %, Temp: 26.10 Celsius
16:18:19.013 -> Humidity: 38.00 %, Temp: 26.10 Celsius
16:18:21.042 -> Humidity: 38.00 %, Temp: 26.10 Celsius
16:18:23.072 -> Humidity: 37.00 %, Temp: 26.20 Celsius
16:18:25.103 -> Humidity: 37.00 %, Temp: 26.20 Celsius
16:18:27.118 -> Humidity: 37.00 %, Temp: 26.20 Celsius
16:18:29.157 -> Humidity: 37.00 %, Temp: 26.20 Celsius
16:18:31.189 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:18:33.222 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:35.249 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:37.276 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:39.279 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:41.313 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:43.350 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:45.377 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:47.413 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:49.422 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:51.460 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:53.500 -> Humidity: 36.00 %, Temp: 26.30 Celsius
16:18:55.499 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:18:57.517 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:18:59.560 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:01.598 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:03.603 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:05.660 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:07.675 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:09.700 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:11.720 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:13.737 -> Humidity: 36.00 %, Temp: 26.20 Celsius
16:19:15.769 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:17.812 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:19.839 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:21.843 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:23.881 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:25.903 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:27.954 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:29.985 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:32.004 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:34.007 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:36.032 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:38.060 -> Humidity: 36.00 %, Temp: 26.10 Celsius
16:19:40.088 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:19:42.145 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:19:44.157 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:19:46.175 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:19:48.205 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:19:50.220 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:19:52.273 -> Humidity: 36.00 %, Temp: 26.00 Celsius
16:19:54.298 -> Humidity: 35.00 %, Temp: 25.90 Celsius
16:19:56.303 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:19:58.354 -> Humidity: 35.00 %, Temp: 25.90 Celsius
16:20:00.387 -> Humidity: 35.00 %, Temp: 25.90 Celsius
16:20:02.404 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:20:04.420 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:20:06.462 -> Humidity: 35.00 %, Temp: 25.90 Celsius
16:20:08.466 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:20:10.502 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:20:12.541 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:20:14.542 -> Humidity: 36.00 %, Temp: 25.90 Celsius
16:20:16.593 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:18.615 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:20.648 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:22.669 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:24.693 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:26.707 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:28.767 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:30.775 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:32.789 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:34.841 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:36.844 -> Humidity: 36.00 %, Temp: 25.80 Celsius
16:20:38.872 -> Humidity: 36.00 %, Temp: 25.80 Celsius
